iter	Passed	Remaining
899	6586	731
900	6591	724
901	6597	716
902	6602	709
903	6607	701
904	6613	694
905	6618	686
906	6624	679
907	6630	671
908	6636	664
909	6643	657
910	6649	649
911	6654	642
912	6662	634
913	6668	627
914	6673	619
915	6679	612
916	6685	605
917	6691	597
918	6697	590
919	6705	583
920	6711	575
921	6715	568
922	6721	560
923	6728	553
924	6734	546
925	6737	538
926	6740	530
927	6743	523
928	6747	515
929	6751	508
930	6755	500
931	6760	493
932	6763	485
933	6768	478
934	6776	471
935	6783	463
936	6790	456
937	6802	449
938	6811	442
939	6818	435
940	6825	427
941	6832	420
942	6846	413
943	6853	406
944	6858	399
945	6864	391
946	6867	384
947	6870	376
948	6878	369
949	6885	362
950	6892	355
951	6895	347
952	6900	340
953	6906	332
954	6909	325
955	6914	318
956	6917	310
957	6923	303
958	6926	296
959	6930	288
960	6934	281
961	6937	274
962	6941	266
963	6944	259
964	6947	251
965	6951	244
966	6955	237
967	6959	230
968	6962	222
969	6964	215
970	6968	208
971	6971	200
972	6974	193
973	6976	186
974	6980	178
975	6983	171
976	6987	164
977	6990	157
978	6993	150
979	6996	142
980	6998	135
981	7001	128
982	7004	121
983	7006	113
984	7009	106
985	7012	99
986	7015	92
987	7017	85
988	7020	78
989	7023	70
990	7026	63
991	7029	56
992	7031	49
993	7034	42
994	7037	35
995	7042	28
996	7045	21
997	7047	14
998	7049	7
999	7053	0
